real_name,stage_name
"Thomas Cruise Mapother, IV ",Tom Cruise
Natalie Hershlag,Natalie Portman
David Robert Jones,David Bowie
Katheryn Elizabeth Hudson,Katy Perry
Farrokh Bulsara,Freddie Mercury
Destiny Hope Cyrus,Miley Cyrus
Steven Tallarico,Steven Tyler
Sofia Villani Scicolone,Sophia Loren
Michael Andrew Fox,Michael J. Fox
Alicia Augello Cook,Alicia Keys
Robert Allen Zimmerman,Bob Dylan
Michael Shawn Hickenbottom,Shawn Michaels
Norma Jeane Mortenson,Marilyn Monroe
Maurice Joseph Micklewhite,Michael Caine
Blake Ellender Brown,Blake Lively
Reginald Kenneth Dwight,Elton John
Courtney Michelle Harrison,Courtney Love
Eric Marlon Bishop,Jamie Foxx
Jonathan Stuart Leibowitz,Jon Stewart
Lea Michele Sarfati,Lea Michele
Leslie Townes Hope,Bob Hope
Julie Anne Smith,Julianne Moore
Frances Ethel Gumm,Judy Garland
Diane Hall,Diane Keaton
"Joseph Yule, Jr. ",Mickey Rooney
Vera Jayne Palmer,Jayne Mansfield
Krishna Pandit Bhanji,Ben Kingsley
Alicia Christian Foster,Jodie Foster
John Anthony Gillis,Jack White
Archibald Alexander Leach,Cary Grant
Allen Stewart Konigsberg,Woody Allen
Audrey Kathleen Ruston,Audrey Hepburn
Jacob Cohen,Rodney Dangerfield
Elizabeth Irene Mitchell,Elizabeth Banks
Leonard Alfred Schneider,Lenny Bruce
Martha Campbell Carradine,Martha Plimpton
Cornelius Crane Chase,Chevy Chase
Diane Heidkrüger,Diane Kruger
Ray Charles Robinson,Ray Charles
Geethali Norah Jones Shankar,Norah Jones
Issur Danielovitch Demsky,Kirk Douglas
Margaret Mary Emily Anne Hyra,Meg Ryan
Kevin Spacey Fowler,Kevin Spacey
John Charles Carter,Charlton Heston
Margarita Carmen Cansino,Rita Hayworth
Toby Keith Covel,Toby Keith
Erik Ivan Weisz,Harry Houdini
Lucille Fay LeSueur,Joan Crawford
Melvin Kaminsky,Mel Brooks
Phoebe Belle Katz,Phoebe Cates
Lady Jayne Seymour Fonda,Jane Fonda
Charles Michael Levine,Chuck Lorre
Vera Mindy Chokalingam,Mindy Kaling
Onika Tanya Maraj,Nicki Minaj
Milton Berlinger,Milton Berle
Ermes Effron Borgnino,Ernest Borgnine
Francesco Stephen Castelluccio,Frankie Valli
Myrna Adele Williams,Myrna Loy
Timothy Alan Dick,Tim Allen
Elizabeth Téa Pantaleoni,Téa Leoni
Hedwig Eva Maria Kiesler,Hedy Lamarr
David Blaine White,David Blaine
Bek David Campbell,Beck Hansen
Steven James Anderson,Stone Cold Steve Austin
Barry Alan Pincus,Barry Manilow
Regina Marie Fischer,Jenna Fischer
"William Bruce Rose, Jr. ",Axl Rose
"Harold George Bellanfanti, Jr. ",Harry Belafonte
Vincent Damon Furnier,Alice Cooper
"Roy Harold Scherer, Jr. ",Rock Hudson
Alison Brie Schermerhorn,Alison Brie
Louis Francis Cristillo,Lou Costello
Melvin Jerome Blank,Mel Blanc
Donna Belle Mullenger,Donna Reed
Jennifer Leigh Morrow,Jennifer Jason Leigh
Dennis Franz Schlachta,Dennis Franz
Myra Ellen Amos,Tori Amos
John Arthur Carradine,David Carradine
Leian Paul Piper,Billie Piper
"Marvin Pentz Gay, Jr. ",Marvin Gaye
Anthony Iadanza,Tony Danza
"John Robert Rietz, Jr. ",Robert Reed
Marilyn Pauline Novak,Kim Novak
Amanda Lee Rogers,Portia de Rossi
Jessica Andrea Steinhauser,Asia Carrera
Bernard Schwartz,Tony Curtis
Nathaniel Adams Coles,Nat King Cole
Greta Lovisa Gustafsson,Greta Garbo
Michelle Lynn Johnson,Meshell Ndegeocello
Jacob Gershowitz,George Gershwin
Sara Rebecca Abeles,Sara Gilbert
Arthur Stanley Jefferson,Stan Laurel
Anna Maria Louisa Italiano,Anne Bancroft
Harlean Harlow Carpenter,Jean Harlow
Kalpen Suresh Modi,Kal Penn
Andrew Clay Silverstein,Andrew Dice Clay
Diana Ellen Judd,Naomi Judd
James Scott Bumgarner,James Garner
Beverle Lorence Buell,Bebe Buell
Roberta Joan Anderson,Joni Mitchell
Peter Aurness,Peter Graves
Monte Halparin,Monty Hall
Lou Diamond Upchurch,Lou Diamond Phillips
Patsy Ann McClenny,Morgan Fairchild
"John Francis Bongiovi, Jr. ",Jon Bon Jovi
Vince Neil Wharton,Vince Neil
Leif Per Narvik,Leif Garrett
Albert Lawrence Einstein,Albert Brooks
Alfred Hawthorn Hill,Benny Hill
Frank James Cooper,Gary Cooper
Lester William Polfuss,Les Paul
Katherine Litwack,Kat Dennings
Constance Frances Marie Ockelman,Veronica Lake
Charles Michael Kittridge Thompson IV,Frank Black
Ralph Lifshitz,Ralph Lauren
Gladys Marie Smith,Mary Pickford
Marina Ann Hantzis,Sasha Grey
Christine Flores,Christina Milian
Jay Scott Greenspan,Jason Alexander
Alexandra Zuck,Sandra Dee
Doris Mary Ann Kappelhoff,Doris Day
Amanda Lee Williford,Willa Ford
Erica Abi Wright,Erykah Badu
Bradley Gerstenfeld,Brad Garrett
Judith Laura Evans,Judy Greer
Charles Dennis Buchinsky,Charles Bronson
Julia Chalene Newmeyer,Julie Newmar
Kemal Amin Kasem,Casey Kasem
Salvatore Loggia,Robert Loggia
Norvell Hardy,Oliver Hardy
Eugene Maurice Orowitz,Michael Landon
Miranda Grossinger,Miranda July
Jeffrey Ross Hyma,Joey Ramone
Nell Ruth Hardy,Nell Carter
Michael John Douglas,Michael Keaton
Margarita Ibrahimoff,Rita Wilson
Lisa Olivia Munn,Olivia Munn
#VALUE!,#VALUE!
Jeanette Helen Morrison,Janet Leigh
Richmond Reed Carradine,John Carradine
Wolfgang Johannes Topfschnig,Wolfgang Puck
Israel Isidore Baline,Irving Berlin
Peter Gene Hernandez,Bruno Mars
John Sidney Blythe,John Barrymore
Bernadette Lazzara,Bernadette Peters
William Claude Dukenfield,W. C. Fields
Anna Marie Duke,Patty Duke
#VALUE!,#VALUE!
María José de Pablo Fernández,Cote de Pablo
Patricia Mae Andrzejewski,Pat Benatar
Anthony Robert McMillan,Robbie Coltrane
Anthony Dominick Benedetto,Tony Bennett
Marion Michael Morrison,John Wayne
Dino Paul Crocetti,Dean Martin
Sally Lowenthal,Sally Jessy Raphaël
Susan Antonia Williams Stockard,Stockard Channing
Volodymyr Palahniuk,Jack Palance
Mark Anthony McDermott,Dylan McDermott
Andrea Kay Pyle,Missi Pyle
Eartha Mae Keith,Eartha Kitt
Richard Frank Oznowicz,Frank Oz
Craig Kenneth Bruderlin,James Brolin
Thomas Michael Moore,Tom Berenger
Elizabeth Grant,Lana Del Rey
Israel Gershowitz,Ira Gershwin
Mary Cathleen Collins,Bo Derek
Frederick Austerlitz,Fred Astaire
Linda Susan Boreman,Linda Lovelace
Mary Frances Reynolds,Debbie Reynolds
Lauren D'Ambruoso,Lauren Ambrose
László Löwenstein,Peter Lorre
Jamesetta Hawkins,Etta James
Joan Alexandra Molinsky,Joan Rivers
Virginia Katherine McMath,Ginger Rogers
Leonard Franklin Slye,Roy Rogers
Debra Frances Manheim,Camryn Manheim
Henry Lawrence Garfield,Henry Rollins
Kelly Rutherford Deane,Kelly Rutherford
Winona Laura Horowitz,Winona Ryder
William Henry Pratt,Boris Karloff
Gabrielle Bonheur Chanel,Coco Chanel
William J. Dafoe,Willem Dafoe
Helen Folasade Adu,Sade Adu
Amelia Fiona Driver,Minnie Driver
Willis Marie Van Schaack,Lili St. Cyr
Lester Anthony Minnelli,Vincente Minnelli
Rachmil Pinchus Ben Mosha Cohon,Peter Coyote
Jill Arlyn Oppenheim,Jill St. John
#VALUE!,#VALUE!
Michael Alan Weiner,Michael Savage
George Keefer Brewer,George Reeves
Richard Henry Sellers,Peter Sellers
Joyce Penelope Wilhelmina Frankenberg,Jane Seymour
Olivia Jane Cockburn,Olivia Wilde
Natasha Braunstein,Natasha Lyonne
Stanley Leiber,Stan Lee
Barbara Lynn Herzstein,Barbara Hershey
Michel Demitri Shalhoub,Omar Sharif
Michael Patrick Smith,Michael Crawford