state,most_populous_city
ALABAMA,Birmingham
ALASKA,Anchorage
ARIZONA,Phoenix
ARKANSAS,Little Rock
CALIFORNIA,Los Angeles
COLORADO,Denver
CONNECTICUT,Bridgeport
DELAWARE,Wilmington
FLORIDA,Jacksonville
GEORGIA,Atlanta
HAWAII,Honolulu
IDAHO,Boise
ILLINOIS,Chicago
INDIANA,Indianapolis
IOWA,Des Moines
KANSAS,Wichita
KENTUCKY,Louisville
LOUISIANA,New Orleans
MAINE,Portland
MARYLAND,Baltimore
MASSACHUSETTS,Boston
MICHIGAN,Detroit
MINNESOTA,Minneapolis
MISSISSIPPI,Jackson
MISSOURI,Kansas City
MONTANA,Billings
NEBRASKA,Omaha
NEVADA,Las Vegas
NEW HAMPSHIRE,Machester
NEW JERSEY,Newark
NEW MEXICO,Albuquerque
NEW YORK,New York
NORTH CAROLINA,Charlotte
NORTH DAKOTA,Fargo
OHIO,Columbus
OKLAHOMA,Oklahoma City
OREGON,Portland
PENNSYLVANIA,Philadelphia
RHODE ISLAND,Providence
SOUTH CAROLINA,Columbia
SOUTH DAKOTA,Sioux Falls
TENNESSEE,Memphis
TEXAS,Houston
UTAH,Salt Lake City
VERMONT,Burlington
VIRGINIA,Virginia Beach
WASHINGTON,Seattle
WEST VIRGINIA,Charleston
WISCONSIN,Milwaukee
WYOMING,Cheyenne